id,answer_id,stock_id,add
208,135,13,TRUE
209,136,11,TRUE
210,136,24,TRUE
211,137,11,TRUE
212,137,20,TRUE
213,138,9,TRUE
214,138,11,TRUE
215,138,22,TRUE
216,139,11,TRUE
217,140,11,TRUE
218,140,16,TRUE
219,141,8,TRUE
220,142,11,TRUE
221,142,15,TRUE
222,142,24,TRUE
223,143,18,TRUE
224,144,6,TRUE
225,144,18,TRUE
226,145,1,TRUE
227,145,18,TRUE
228,146,8,TRUE
229,146,11,TRUE
230,147,1,TRUE
231,147,6,TRUE
232,148,11,TRUE
233,149,11,TRUE
234,149,15,TRUE
235,150,24,TRUE
236,151,11,TRUE
237,151,23,TRUE
238,152,11,TRUE
239,152,19,TRUE
240,152,23,TRUE
241,153,11,TRUE
242,153,19,TRUE
243,153,23,TRUE
244,154,3,TRUE
245,154,4,TRUE
246,154,11,TRUE
247,154,25,TRUE
248,155,11,TRUE
249,156,11,TRUE
250,157,11,TRUE
251,158,16,TRUE
252,158,25,TRUE
253,159,11,TRUE
254,159,14,TRUE
255,160,2,TRUE
256,160,11,TRUE
257,161,11,TRUE
258,162,11,TRUE
259,163,1,TRUE
260,164,5,TRUE
261,164,11,TRUE
262,164,25,TRUE
263,165,16,TRUE
264,165,24,TRUE
265,166,20,TRUE
